"ENTREZID","statistic"
"57162",9.54159795361022
"100507144",9.54095157563699
"112268124",9.53891800409749
"403150",9.53477629959592
"152756",9.53092951432224
"29103",9.52993047404227
"943",9.51342635603817
"534",9.50967732642649
"54482",9.50534393846613
"85463",9.50523168793224
"119437",9.50245410089346
"642361",9.49659431727066
"29950",9.49394226513844
"4793",9.48991828772392
"645676",9.48989871862663
"100288198",9.48676175680764
"80304",9.47331415215278
"148189",9.45990370982649
"7561",9.45729669298126
"374899",9.44429796751456
"3665",9.43441674643694
"105369192",9.42923228159693
"5411",9.42254443563736
"26098",9.41983301460698
"3621",9.41572789411505
"340527",9.41082666883221
"9120",9.39977709818908
"10186",9.39769028412911
"124903031",9.39723148219096
"92595",9.38319945494132
"124907725",9.37565885678092
"56271",9.37411624764438
"9709",9.37196397764285
"151534",9.36677532597495
"105377198",9.36640714205178
"3627",9.35607596677669
"79027",9.35585831401379
"345611",9.33448010784923
"339327",9.32812791364381
"388272",9.32780695112219
"130612",9.32176959164364
"56475",9.31963149708545
"404665",9.31338878161417
"83478",9.30870346870828
"1543",9.3083437323556
"105373058",9.29847119703947
"6621",9.2968661390203
"26750",9.29447215118723
"84225",9.28619309029757
"81551",9.28457987912507
"347273",9.28195193867824
"253639",9.26802591623831
"8444",9.26782580489658
"10087",9.26610114191348
"126014",9.26395077190378
"10071",9.26270941406066
"177",9.26216484412763
"100170229",9.26208475012639
"7726",9.25937623161875
"146754",9.25560574386065
"51599",9.24605195098041
"286075",9.22923212942572
"106480758",9.22466945322169
"220136",9.21993240426292
"440400",9.21871686334447
"4985",9.21269941401765
"401647",9.20810320109976
"107985209",9.20620645398732
"56260",9.20588314955057
"9095",9.20583535831334
"10260",9.19475186877028
"4161",9.19392100126908
"202151",9.1935755015385
"113263",9.1889501283362
"83638",9.18857008613933
"285704",9.18085490947059
"101928000",9.18064550157491
"9911",9.17761026736635
"58508",9.17683256451025
"127495",9.17446747713779
"27022",9.17134465606459
"79088",9.17068306208649
"4144",9.16745694856416
"55294",9.15945498767912
"93653",9.15923528501672
"55287",9.15556272651117
"400761",9.14632532423231
"8227",9.14039067539197
"259307",9.13989137033575
"8740",9.13794078427589
"25976",9.13437750899041
"100129794",9.13090080348397
"7189",9.12895503072168
"5837",9.11894657196425
"64320",9.11678787311631
"3595",9.11602999126611
"158055",9.10769271562514
"100507336",9.10442349769993
"100287898",9.10284704105621
"54742",9.1012756604865
"340554",9.09659719005131
"144448",9.0959088540947
"8557",9.09386204626919
"136895",9.07982427220792
"91370",9.07522022397206
"57232",9.06927123833587
"90627",9.0665547880879
"5936",9.064149703013
"3732",9.06263159465994
"7011",9.05121166147366
"123706550",9.04855829606483
"390",9.04760259589422
"101927204",9.04091964661883
"2140",9.03647689775505
"100130705",9.03377344521898
"100129250",9.02818672950157
"145694",9.02029098564832
"100132972",9.01628334851517
"8233",9.0148486026113
"123706540",9.01435927831419
"340526",9.01269260825274
"123872",9.01199245501426
"6102",9.01049174306195
"5063",9.00112300177573
"353189",9.00060810859196
"150538",8.99089978257647
"55509",8.98919677398329
"56983",8.98884449732212
"116828",8.98615661961341
"100996419",8.98076329092253
"644242",8.9771998028568
"25801",8.97534011381868
"400604",8.97136973208636
"79647",8.97113733865226
"2246",8.96506017716594
"115572",8.96149732041043
"80072",8.94755145898501
"79673",8.9425289707524
"122526776",8.93680300730249
"29881",8.93308309899391
"7288",8.93007655901584
"65109",8.92398055461563
"80063",8.92142654078868
"143689",8.9213207849891
"439994",8.91251064254788
"9098",8.91144331903505
