"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","22/1188","83/9410",0.265060240963855,2.09950914770192,3.82435432888238,0.000463236731185481,0.00542420185780274,0.00542420185780274,"ZBP1/ZCCHC3/IFNB1/IL1B/NLRP3/RIGI/CXCL10/CCL5/STING1/POLR3C/CCL4/SAMHD1/NFKB1/CCL4L2/MEFV/POLR3F/CASP3/CGAS/IRF7/NFKBIA/IL6/NFKBIB",22
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","21/1188","78/9410",0.269230769230769,2.13254338254338,3.81773695164642,0.000493109259800249,0.00542420185780274,0.00542420185780274,"TRAF6/CXCL8/IL1B/C2/NLRP3/TNF/JUN/IRF8/C4A/ITGA5/NFKB1/IRF1/IL23A/CASP3/ITGAM/IL6/IL12A/IL1A/CALML6/TICAM1/FOS",21
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","21/1188","78/9410",0.269230769230769,2.13254338254338,3.81773695164642,0.000493109259800249,0.00542420185780274,0.00542420185780274,"NCF1/TRAF6/IL1B/TNF/CR1L/HLA-DOB/TGFB3/IFNGR2/HLA-DOA/JUN/TLR2/NFKB1/TAB2/FCGR1A/ITGAM/NFKBIA/IL12A/JAK2/IL1A/NFKBIB/FOS",21
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","14/1188","44/9410",0.318181818181818,2.52027854300582,3.84205560383915,0.000703924511613918,0.00750852812388179,0.00750852812388179,"IL1B/TNF/HLA-DOB/HLA-DOA/HLA-A/GAD1/HLA-G/LTA/FAS/HLA-B/HLA-C/HLA-F/IL12A/IL1A",14
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","25/1188","103/9410",0.242718446601942,1.92254257788238,3.57842066308216,0.000824580519055622,0.0082929240773594,0.0082929240773594,"TRAF6/CCL3/CXCL8/IFNB1/IL1B/CFLAR/TNF/PLCB4/CCL5/TGFB3/PIK3R1/PIK3R3/IFNGR2/JUN/TLR2/GNA15/NFKB1/FAS/CCL3L1/NFKBIA/IL6/IL12A/GNAO1/TICAM1/FOS",25
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","25/1188","103/9410",0.242718446601942,1.92254257788238,3.57842066308216,0.000824580519055622,0.0082929240773594,0.0082929240773594,"CXCL8/C8G/LAMA2/ARG2/IL1B/TNF/PLCB4/TGFB3/PIK3R1/PIK3R3/PRKCG/TLR2/GNA15/LAMB4/CXCL2/NFKB1/CXCL3/LAMC2/CXCL1/CASP3/ITGAM/MUC2/CSF2/IL6/IL12A",25
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","30/1188","133/9410",0.225563909774436,1.78666362876889,3.4729803945729,0.000971199521088574,0.00949617309508828,0.00949617309508828,"MDM2/CDKN1B/GADD45A/BRAF/RAG2/PLK2/KLF2/TGFB3/PIK3R1/PIK3R3/FOXG1/GABARAP/BCL6/GADD45G/HOMER1/NLK/IL7R/BCL2L11/DEPP1/IRS2/CCND2/PRKAB2/GADD45B/FOXO6/S1PR1/CDKN1A/PLK3/BNIP3/IL6/RAG1",30
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","19/1188","72/9410",0.263888888888889,2.09023101384212,3.52979159009144,0.00116997742038672,0.0111305959993547,0.0111305959993547,"CASP10/TRAF6/CXCL8/IFNB1/RIGI/TNF/CXCL10/IFIH1/STING1/ISG15/CYLD/TANK/NFKB1/ZNFX1/IRF7/NFKBIA/IL12A/DHX58/NFKBIB",19
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","30/1188","137/9410",0.218978102189781,1.73449826734498,3.29179019799671,0.00160117331518541,0.0148319212354017,0.0148319212354017,"BBC3/CASP10/BCL2A1/GADD45A/ERN1/TRAF1/NGF/DDIT3/CFLAR/HRK/BIRC3/TNF/PMAIP1/PIK3R1/PIK3R3/EIF2AK3/GADD45G/JUN/DIABLO/BCL2L11/NFKB1/MCL1/TNFRSF10B/GADD45B/TUBA8/FAS/CASP3/CTSW/NFKBIA/FOS",30
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","21/1188","86/9410",0.244186046511628,1.9341672539347,3.30798819566643,0.00192524379811168,0.0173765594085977,0.0173765594085977,"ACTN2/LAMA2/CACNB2/ITGA8/SLC8A3/RYR2/DMD/ITGB8/SGCG/ATP2A1/CACNA1C/CACNG8/ITGA5/CACNA1F/DTNA/TCF7L2/CACNB1/CAV3/SLC8A2/ITGB7/ACTN3",21
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","48/1188","253/9410",0.189723320158103,1.50277478340719,3.08140199528066,0.00226259024958217,0.0199107941963231,0.0199107941963231,"TNIP1/MAP1LC3C/TIFA/H3C12/MDM2/ILK/TRAF6/CXCL8/IFNB1/H3C13/CYTH4/IL1B/NLRP3/TNF/SEPTIN8/HK3/PLCB4/H3C6/CCL5/PIK3R1/MYL11/STING1/PIK3R3/H3C2/NLRC4/UBE2V1/U2AF1L4/RPS6KB2/JUN/ITGA5/NFKB1/PPID/U2AF1/H3-3B/FOXO6/TAB2/PLCG2/H3C10/H3-5/BNIP3/CSF2/CGAS/LOC102724594/NFKBIA/MAP1LC3A/HCLS1/BCL10/NFKBIB",48
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","23/1188","99/9410",0.232323232323232,1.84020338060742,3.19444251267297,0.00242700740340526,0.020836746487772,0.020836746487772,"LAMA2/CACNB2/ITGA8/SLC8A3/TNF/RYR2/DMD/MYH6/TGFB3/ITGB8/SGCG/ATP2A1/CACNA1C/CACNG8/ITGA5/CACNA1F/DTNA/PRKAB2/CACNB1/CAV3/SLC8A2/IL6/ITGB7",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","33/1188","160/9410",0.20625,1.63368055555556,3.07291625217344,0.00273430002300352,0.0229160382880295,0.0229160382880295,"SDC4/CLDN9/SELPLG/CLDN19/ITGA8/CDH15/MADCAM1/NLGN3/NTNG2/PDCD1LG2/HLA-DOB/ICAM1/CD274/ITGB8/HLA-DOA/CD8A/CDH3/VCAM1/CLDN15/JAM2/HLA-A/HLA-G/HLA-B/HLA-C/CLDN6/HLA-F/ITGAM/CLDN16/CD22/NRXN2/ITGB7/SIGLEC1/ICOSLG",33
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","13/1188","45/9410",0.288888888888889,2.28825289936401,3.29264351132441,0.00287572668864821,0.0230523139367191,0.0230523139367191,"IL1B/TNF/HLA-DOB/HLA-DOA/HLA-A/HLA-G/FAS/HLA-B/HLA-C/HLA-F/IL6/IL1A/KLRD1",13
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","25/1188","112/9410",0.223214285714286,1.76805254930255,3.10811009398717,0.00288153924208989,0.0230523139367191,0.0230523139367191,"TRAF6/PIK3R5/LAMA2/BIRC3/TNF/MAP2K3/HLA-DOB/TGFB3/IFNGR2/HLA-DOA/IL10RA/TLR2/LAMB4/NFKB1/IRGM/SOCS1/TAB2/LAMC2/HSPA6/CASP3/NFKBIA/IL12A/JAK2/NFKBIB/GNAO1",25
