"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0002704","negative regulation of leukocyte mediated immunity",42,0.374735488831599,1.4628719396871,0.0390116556288101,0.130556935172113,0.0470160978270673,4809,"tags=55%, list=29%, signal=39%","HLA-F/IFNB1/CD274/HLA-B/IL4I1/HLA-A/LAG3/NECTIN4/HAVCR2/AHR/INPP5D/KLRD1/CR1L/CEACAM1/FOXP3/TBX21/HLA-G/TNFRSF14/HLA-E/SERPINB9/BST2/SPI1/SUSD4",0.321775918075361
"GO:0016049","cell growth",368,-0.302294291932377,-1.46100101427125,0.00126547660378342,0.0106757567148443,0.0038445481384914,4399,"tags=35%, list=26%, signal=27%","PUM2/OLFM1/TGFB2/NUBP1/ULK1/RPS6KA3/NCBP1/MAP1B/ATAD3A/TOMM70/EIF2AK4/PAFAH1B1/TGFBR1/ABL1/TEAD1/SYT3/SEMA6C/PAK1/CDC42/RB1/SSNA1/SH3BP4/IL17RA/ACVR1B/PAK4/IMPACT/SMARCA2/EXOSC2/MLST8/ULK2/KLHL22/CTTN/CAMK2D/ADIPOR1/TGFB1/PHB1/BMPR2/PSMD10/RPS6KA1/SMAD3/AGTR1/DCAF13/EPHA7/KIAA0319/RERG/LAMTOR2/BRAT1/EGFR/RTN4/LAMTOR1/ALCAM/USP9X/NRG1/EXTL3/MTOR/MTPN/PRKCQ/RACK1/CYFIP2/MEGF8/RTN4R/MAPKAP1/OSGIN2/EIF4G2/LTBP4/PPP3CB/DAB2/PTPRJ/NRP2/SLC23A2/RBBP7/CYFIP1/FHL1/DNM2/H3-3A/IGFBP1/SGK2/SHTN1/KIF14/URI1/BSG/CDH2/SIPA1/AKT1/EI24/CFL1/SLC9A6/JUP/CLASP2/CACNG7/PDLIM5/COBL/SPP1/PRR5/DNPH1/EPHX2/EIF4G1/HDGFL2/ERBB2/JADE1/GJA1/TWF2/SLIT3/ITGA4/SYT17/ADAM10/CHPT1/NDRG3/IGFBPL1/PTPRS/LIMK1/NRP1/CDK5/KIF26A/IGFBP7/DCBLD2/BRCA1/HYAL2/SFRP1/PPT1/NRCAM/ADAM15/TMEM97/CYBA/RNF157/ENO1/CDH1/SEMA3F/APP/G6PD",0.45505986738723
"GO:0044091","membrane biogenesis",60,-0.386045056017131,-1.46095321226861,0.0140661282472111,0.0598905388078212,0.0215677507119188,3540,"tags=38%, list=21%, signal=30%","CHMP7/ANK3/S100A10/SERINC1/CAV2/CAV1/EPHB2/BANF1/SPAST/STX2/NLGN2/TLCD1/FLOT1/REEP3/CDH2/EMP2/CHMP3/PACSIN2/LRP4/REEP4/ANXA2/IQGAP1/RCC1",0.380730400722792
"GO:0006820","monoatomic anion transport",109,-0.344254804435458,-1.46043445925315,0.0219351002114495,0.0840401991462929,0.0302645142462895,4497,"tags=39%, list=27%, signal=28%","SLC39A14/SLC1A4/VDAC2/ANO7/SLC26A6/GABRQ/SLC25A27/CLIC1/SLC4A3/SLC5A6/KCNQ1/CLCN7/KCNK1/PACC1/GLRB/ANO8/LRRC8A/SLC17A5/SLC26A2/OCA2/GABRE/SLC4A2/VDAC1/SLC17A3/SLC1A1/SLC4A7/ATP8B1/CLNS1A/RAB11B/CLCC1/TSPO/VDAC3/SLC12A2/SLC4A8/TCAF1/SLC4A4/ANO10/GABRA5/TTYH3/UCP2/SLC19A1/GABRB3",0.352487857583619
"GO:0046473","phosphatidic acid metabolic process",32,-0.441984663838255,-1.45908367192023,0.0477657935285054,0.149633918991802,0.0538860916449324,3515,"tags=38%, list=21%, signal=30%","LIPH/GNPAT/ABHD4/GPAT3/DGKG/AGPAT5/DGKD/AGPAT3/LPCAT4/PLD1/LPCAT1/AGPAT2",0.257206466468838
"GO:0044458","motile cilium assembly",63,0.331799189892616,1.45868477229484,0.0385654836240178,0.129654113041295,0.0466909739754154,1981,"tags=24%, list=12%, signal=21%","CFAP54/CFAP43/CCDC38/CFAP53/DNAAF1/DMD/DNAH12/DNAH3/DNALI1/CCDC181/MYCBPAP/CFAP65/SPEF2/LRRC46/RSPH6A",0.321775918075361
"GO:0005976","polysaccharide metabolic process",78,-0.363184094269371,-1.4585281168275,0.0301734836787427,0.107516286204374,0.0387187109097176,1773,"tags=26%, list=11%, signal=23%","PPP1CA/PGM2/AKT1/IRS1/UGP2/PHKB/INSR/CHST7/WIPI2/CLTC/PGM1/PHKA2/PASK/EXT2/PHKA1/GAA/PYGB/PYGL/KHK/GYG2",0.352487857583619
"GO:0051146","striated muscle cell differentiation",216,-0.314625397944901,-1.45761725891067,0.00529096516842779,0.0295169593836389,0.0106296325668892,4397,"tags=40%, list=26%, signal=30%","RPL35A/RPL18/RPL12/PLEC/CXADR/RPL6/RPL19/MYOCD/RPL37/TOMM70/RPL14/RPLP2/RPL41/RPL24/FLII/PAK1/UBA52/PPP3CA/NEBL/TGFB1/CCNB1/SIK1/TPM1/CALR/RPL28/KCNH1/RPL8/RPL27A/CSRP1/NRG1/RPL15/CAV2/BMPR1A/RPLP1/TBX1/RPL7A/RYR1/RPL7/RPL5/RPL10/RPL10A/RPL13A/KAT2A/RPL9/PPP3CB/DOCK2/RPL13/RPL23A/CYP26B1/RPL21/MYOM3/COL6A1/TMOD3/DOCK5/OBSCN/HDAC4/CACYBP/ADAMTS15/CD9/ARRB2/OBSL1/PDLIM5/RPL4/WDR1/TNNT1/CAPN2/BMP4/EHD2/MYORG/CD81/DOCK1/RPLP0/ADAM12/FHOD3/CDK1/ATP11A/KRT19/KRT8/DKK1/SELENON/SDC1/CACNA1H/SORT1/ITGB1/PTGFRN/G6PD",0.407017918923954
"GO:0060333","type II interferon-mediated signaling pathway",22,0.445683478118345,1.45615082192398,0.0440433580073365,0.141516363433409,0.0509628016201864,778,"tags=18%, list=5%, signal=17%","IRF1/JAK2/PARP14/IRGM",0.321775918075361
"GO:0042743","hydrogen peroxide metabolic process",31,-0.44090204539071,-1.45596698949429,0.05,0.154574132492114,0.0556651588458518,4197,"tags=55%, list=25%, signal=41%","MAOB/PXDN/PRDX5/PINK1/RAC1/SOD1/TXN/HDAC6/MPV17L/PRDX6/PARK7/CAT/PRDX1/PRDX3/PRDX4/CYBA/NNT",0.252961123069611
