"","GSM4385296","GSM4385297","GSM4385298","GSM4385299","GSM4385300","GSM4385301"
"642402",24,34,37,19,35,27
"64241",39,31,26,24,21,23
"642426",0,1,1,0,1,0
"642446",0,0,0,0,0,0
"642475",289,313,224,224,211,199
"642484",0,0,0,0,0,0
"6425",30,26,14,24,25,17
"642515",173,216,167,156,188,144
"642517",433,357,303,325,340,306
"642559",8,8,4,5,10,4
"642569",0,0,2,0,1,2
"642574",30,28,21,12,14,16
"642587",1,0,0,2,1,0
"642597",0,0,0,0,0,2
"6426",11046,9185,9146,8010,8650,7798
"642612",0,0,1,1,0,0
"642623",0,0,0,0,0,0
"642633",0,1,1,1,1,0
"642636",9,5,2,12,9,9
"642643",0,0,0,1,1,0
"642648",207,204,173,199,229,169
"642658",289,326,245,228,179,178
"642696",21,17,15,15,17,21
"6427",4604,4005,4177,3835,3855,3475
"642757",102,89,68,74,90,85
"642776",794,651,587,554,590,616
"642778",159,147,95,117,114,97
"642799",138,130,97,96,106,89
"6428",4899,4270,4046,3720,3858,3564
"642819",137,144,102,86,121,103
"64282",1374,1196,1139,1088,1118,1054
"642826",984,833,759,793,877,772
"64283",2759,2724,2384,2248,2476,2251
"64284",25,46,26,29,23,29
"642843",87,80,64,72,66,69
"642846",549,601,455,378,389,346
"64285",385,406,310,319,269,290
"642852",859,878,637,625,680,645
"642864",0,1,0,0,0,0
"64288",270,210,189,184,217,245
"6429",1537,1366,1244,1126,1249,1062
"642924",8,5,3,1,2,0
"642929",0,1,1,0,0,0
"642934",0,0,1,0,2,1
"642938",449,380,336,370,376,355
"642943",2,0,0,0,0,1
"642946",48,52,49,45,55,42
"642968",1,0,0,1,0,1
"642976",0,0,3,3,2,3
"642987",31,32,23,19,29,32
"643",900,833,680,656,689,601
"6430",3855,3262,3078,2967,3208,2933
"643008",228,252,166,162,133,155
"643036",10,4,2,6,8,8
"643037",0,0,0,0,0,0
"643072",125,103,99,100,105,69
"6431",5651,4868,4750,4237,4668,4115
"643136",128,132,114,97,130,82
"643155",1992,1724,1632,1562,1602,1512
"643160",0,0,0,0,0,0
"643161",0,3,1,0,1,0
"64318",1315,1299,1203,1054,1176,1121
"643180",272,231,207,193,214,199
"64319",1999,2116,1744,1590,1616,1390
"6432",2632,2276,2216,2133,1964,1922
"64320",209,217,164,200,167,188
"643201",37,45,35,28,36,38
"64321",254,322,231,252,260,278
"643224",4,2,2,1,1,1
"643226",0,0,1,0,3,0
"643236",1,4,8,2,3,4
"64324",7068,6656,5589,5287,5509,5190
"643246",27,20,19,15,13,12
"643253",317,260,252,263,285,278
"64326",1830,1512,1379,1355,1497,1336
"64327",3557,3134,2915,2605,2791,2731
"64328",2667,2307,2287,2147,2308,2033
"6433",1822,1750,1557,1470,1502,1416
"643311",5,0,0,1,1,0
"643314",1633,1844,1549,1281,1255,1237
"64332",1133,945,934,1116,1215,1059
"643327",51,51,38,28,35,36
"64333",19,10,8,18,10,19
"643332",0,0,2,0,0,1
"643338",120,110,92,97,100,96
"643339",11,11,8,6,11,14
"643355",0,0,0,0,0,0
"643365",1,0,0,0,0,1
"643376",122,117,120,95,141,80
"643382",146,156,132,117,128,123
"643387",1,1,3,1,2,1
"643394",7,3,1,0,1,3
"6434",3330,2757,2704,2604,2760,2298
"643401",636,592,510,517,490,503
"643406",3,0,1,0,2,0
"643414",2,3,2,0,1,3
"643418",2,0,3,0,5,2
"64342",620,623,540,507,544,482
"64343",971,843,815,989,1023,922
"643432",1,1,4,1,4,2
"64344",4,0,3,6,6,3
"643441",0,0,0,0,1,1
"643479",1,3,0,0,0,1
"643486",0,0,0,0,0,0
"643529",0,0,0,0,0,0
"643542",11,7,9,14,7,8
"64359",434,434,369,349,323,263
"643596",82,77,69,67,63,64
"643623",1,0,0,0,0,0
"643641",918,916,645,786,816,712
"643648",14,12,13,7,8,12
"643650",962,814,768,807,876,716
"643664",47,50,38,56,39,46
"643669",215,203,166,159,170,137
"643677",6,14,10,9,7,8
"643680",0,3,1,3,4,2
"643699",215,190,165,181,202,175
"643707",85,83,76,55,77,72
"643711",0,0,1,0,0,0
"643714",1,1,1,1,1,3
"643719",96,91,70,77,87,77
"643723",3,12,9,4,7,6
"643733",0,0,0,0,2,1
"64374",773,747,673,687,613,593
"643749",200,167,182,165,185,143
"64375",315,304,213,217,257,216
"64376",608,492,503,502,522,462
"643763",73,64,77,59,78,65
"64377",9,2,0,2,0,0
"643770",27,8,19,20,9,16
"643783",97,62,70,78,90,80
"643802",1,0,0,0,1,4
"643803",0,0,0,0,0,0
"643812",0,0,0,0,0,0
"643827",3160,3166,2545,2494,2762,2522
"643834",0,1,1,0,0,0
"643836",1844,1589,1413,1335,1517,1375
"643837",463,394,344,364,374,286
"643847",1,1,2,1,0,1
"643853",353,394,294,335,319,261
"643854",0,0,0,1,1,2
"64386",117,148,116,101,112,110
"643862",486,424,393,380,422,396
"643866",44,57,40,52,38,30
"64388",163,137,123,103,130,112
"6439",35,23,24,27,29,28
"643904",72,65,50,46,56,50
"643911",395,342,291,289,303,263
"64393",1459,1202,1215,763,766,703
"64395",1675,1527,1426,1376,1351,1288
"643955",0,0,0,0,0,0
"64396",5,3,2,2,3,2
"643965",1,1,1,1,0,0
"64397",2503,2287,2065,1871,2105,1742
"643977",156,158,154,120,152,127
"64398",2242,1867,1875,1740,1842,1792
"643988",123,103,100,98,84,77
"64399",94,103,77,70,86,69
"644",1088,978,909,857,953,787
"6440",5,0,1,3,2,2
"64400",839,701,726,651,673,629
"644019",797,690,691,614,626,651
"64403",136,142,132,107,105,125
"644041",0,2,0,0,0,0
"64405",1,0,2,3,1,0
"644050",4,3,0,2,1,2
"644054",1,1,1,4,2,2
"644068",77,66,47,57,73,50
"64407",0,0,1,1,0,0
"644070",0,0,1,0,0,1
"644076",0,0,0,0,0,0
"64409",0,2,1,2,0,0
"644090",12,18,9,7,10,11
"644093",14,9,5,13,5,7
"644096",394,406,294,295,305,256
"6441",33,43,26,18,39,37
"64410",256,273,225,227,197,177
"644100",5,9,39,0,1,4
"64411",335,320,252,239,240,220
"64412",1199,1033,925,965,907,845
"644128",424,404,377,336,344,335
"644135",319,210,211,199,253,207
"644139",0,6,2,4,2,0
"644145",0,0,0,0,0,0
"644150",195,205,166,161,138,149
"644165",100,99,65,71,75,75
"644168",0,0,1,0,0,0
"64417",710,589,560,563,631,520
"644172",3,0,6,2,3,0
"64418",1228,992,982,815,957,917
"644186",3,1,1,3,6,2
"644189",0,0,0,0,1,0
"64419",737,760,594,620,633,536
"644192",291,237,174,218,275,249
"6442",20,4,2,15,8,9
"64420",816,848,691,695,678,612
"64421",1195,1040,961,958,1034,926
"644215",15,12,16,16,17,17
"64422",1107,910,937,867,920,875
"64423",4573,4958,3635,3572,3490,3184
"644242",19,6,6,7,11,8
"644246",88,82,61,76,80,73
"644248",4,2,1,1,3,1
"64425",771,754,715,614,618,594
"64426",1990,1945,1742,1554,1745,1678
"64427",739,728,596,585,589,559
"644277",0,0,0,0,0,0
"64428",440,431,329,367,333,297
"644285",236,234,188,177,249,186
"64429",1478,1250,1193,1148,1191,1065
"644297",240,236,186,180,185,187
"6443",1213,1166,1085,1057,1090,998
"64430",3060,2655,2583,2372,2556,2386
"64431",653,584,572,544,611,529
"644314",0,0,0,0,0,0
"644316",0,0,0,1,0,0
"64432",3289,2978,2721,2634,2790,2620
"64433",8,5,6,2,2,4
"64434",1475,1423,1159,1105,1199,987
"644353",129,91,90,80,116,116
"6444",613,523,510,483,493,476
"644414",0,0,0,0,0,0
"644444",2,1,5,0,0,3
"64446",1,1,1,0,2,0
"6445",2,2,4,5,3,2
"644511",40,62,27,27,30,33
"644524",0,1,3,1,0,3
"644538",1,1,2,0,0,0
"644554",0,0,0,0,0,0
"644591",0,0,0,0,0,0
"644596",11,6,8,13,12,7
"6446",1407,1133,1106,1115,1239,1048
"644619",70,72,34,42,51,52
"644623",0,0,0,0,0,1
"644634",13,8,6,9,11,8
"644649",1,0,0,0,0,0
"644656",54,52,48,54,64,63
"644660",158,184,173,155,136,140
"644669",0,0,0,0,0,0
"644672",0,0,0,0,0,0
"644694",0,0,0,0,0,0
"6447",38,49,41,45,60,23
"644714",628,573,502,482,537,486
"644717",0,0,0,0,0,0
"644759",2,1,4,0,0,0
"644762",6,2,2,3,1,3
"64478",0,0,4,3,1,0
"644794",212,164,128,123,149,113
"6448",689,688,553,559,491,508
"644809",1,0,0,0,0,0
"644815",1208,1306,1008,1009,936,907
"644838",0,0,1,0,0,1
"644844",1,2,3,3,1,3
"644861",0,0,1,0,1,0
"644873",1481,1399,1289,1205,1353,1218
"644890",12,17,22,12,19,15
"6449",1192,1090,1002,909,861,780
"644903",66,42,49,71,51,60
"644919",4,5,2,2,3,2
"64493",38,48,22,46,25,25
"644936",1,0,0,0,0,0
"644943",255,216,198,228,262,229
"644945",2,0,0,0,0,0
"644961",89,73,74,68,95,67
"644962",24,16,26,19,29,23
"644974",32,31,17,21,34,18
"64499",2,1,0,1,0,0
"644990",37,27,23,26,34,26
"644994",0,0,0,0,0,0
"644997",0,0,0,0,0,0
"645",2973,2869,2680,2881,2737,2493
"6450",36,26,22,17,19,26
"645027",2,6,7,5,3,4
"645030",76,63,33,51,50,51
"645051",0,0,0,0,0,0
"64506",300,279,272,244,250,220
"645073",0,0,1,1,0,0
"645078",0,0,0,0,0,0
"6451",1430,1298,1233,1286,1345,1242
"645104",0,0,0,0,0,0
"645121",8,10,5,6,8,6
"645142",0,0,0,0,0,1
"645158",24,33,18,30,31,19
"645166",33,46,29,27,31,40
"645177",0,0,0,0,0,0
"64518",1,3,2,4,3,2
"645188",0,0,0,0,1,0
"645191",5,1,2,2,1,5
"6452",630,599,486,517,502,448
"645202",0,0,0,0,0,0
"645206",0,2,2,0,0,1
"645212",154,138,118,143,159,120
"645249",66,73,65,55,55,42
"645261",0,0,0,0,0,0
"6453",1654,1372,1309,1230,1254,1227
"645321",0,0,0,0,0,0
