"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","GeneType","ENTREZID","Regulation","minusLog10P","minusLog10FDR"
"9246",527.555633074323,1.84801803907292,0.10014688166782,18.6004444722039,3.18654823731881e-77,1.31193867716843e-74,"UBE2L6","ubiquitin conjugating enzyme E2 L6","protein-coding","9246","Up in ZIKV",76.4966795028729,73.8820864643428
"1141",2378.1661829377,1.01304404728301,0.054938403021112,18.5911595622465,3.78897326295144e-77,1.53053072804768e-74,"CHRNB2","cholinergic receptor nicotinic beta 2 subunit","protein-coding","1141","Up in ZIKV",76.4214784593314,73.8151579467673
"84166",495.839087628716,1.90747339802177,0.115420107054421,16.7107684617536,1.09416364373402e-62,4.33795360161143e-60,"NLRC5","NLR family CARD domain containing 5","protein-coding","84166","Up in ZIKV",61.9609177198163,59.3627150974744
"51056",1175.12803745029,1.14058983860952,0.0693113623347624,16.6301348061972,4.21644544226623e-62,1.64127055406323e-59,"LAP3","leucine aminopeptidase 3","protein-coding","51056","Up in ZIKV",61.3750535147549,58.7848198220843
"102723458",180.166675269178,2.94324119486106,0.179833854277854,16.5317901327897,2.166137268061e-61,8.28122013784248e-59,"LOC102723458","uncharacterized LOC102723458","ncRNA","102723458","Up in ZIKV",60.6643140256089,58.0819056704503
"6737",439.269664974768,1.58980321294426,0.0993121472341732,16.182870839995,6.66146088400562e-59,2.50202133448555e-56,"TRIM21","tripartite motif containing 21","protein-coding","6737","Up in ZIKV",58.1764305179336,55.6017089914412
"55337",359.842264722599,1.68393166329423,0.107640764889153,15.8227190715391,2.16918706194845e-56,8.0069182429749e-54,"SHFL","shiftless antiviral inhibitor of ribosomal frameshifting","protein-coding","55337","Up in ZIKV",55.6637029945653,53.0965346059634
"23424",836.925460535067,1.14171034459139,0.0746785194874659,15.4743177785682,5.17186392462749e-54,1.87668533495508e-51,"TDRD7","tudor domain containing 7","protein-coding","23424","Up in ZIKV",53.2863529102342,50.7266085397115
"8542",623.555443451048,1.24947816304448,0.0850854638334172,14.8766261184744,4.67486913720412e-50,1.66807122264005e-47,"APOL1","apolipoprotein L1","protein-coding","8542","Up in ZIKV",49.330230541751,46.7777854099697
"116071",128.914416058692,2.89382649290417,0.202931440485136,14.4135800993404,4.25091689080538e-47,1.46786902766536e-44,"BATF2","basic leucine zipper ATF-like transcription factor 2","protein-coding","116071","Up in ZIKV",46.3715173857921,43.8333126931255
"54739",218.508098594793,7.57389263372292,0.546002288021085,13.7329338074119,6.44691290865363e-43,2.19082473748199e-40,"XAF1","XIAP associated factor 1","protein-coding","54739","Up in ZIKV",42.1906481966334,39.6593923639222
"91543",109.366275705552,5.9084350433821,0.452992381941917,13.0183038650501,9.62859418376343e-39,3.22091520125299e-36,"RSAD2","radical S-adenosyl methionine domain containing 2","protein-coding","91543","Up in ZIKV",38.0164371171125,35.4920207089315
"5371",570.078765800919,1.35020298147969,0.105697432868865,12.9987650852755,1.2433480454513e-38,4.09520589308722e-36,"PML","PML nuclear body scaffold","protein-coding","5371","Up in ZIKV",37.9054072840205,35.3877242584985
"6891",757.177102420083,1.05040019852986,0.08292748746166,12.8919060646866,4.99927368520241e-38,1.62165833828028e-35,"TAP2","transporter 2, ATP binding cassette subfamily B member","protein-coding","6891","Up in ZIKV",37.3010930871483,34.7900406405253
"2633",89.3872799876723,2.76131178265213,0.234783073934862,11.9604070551024,5.72804408958727e-33,1.77727095527498e-30,"GBP1","guanylate binding protein 1","protein-coding","2633","Up in ZIKV",32.2419936478596,29.750246356432
"84941",97.803183622133,2.56815499074103,0.220085548608164,11.8986703208911,1.20247823267972e-32,3.6776937833486e-30,"HSH2D","hematopoietic SH2 domain containing","protein-coding","84941","Up in ZIKV",31.9199227765031,29.4344244343525
"10410",226.342427571002,1.44312479232102,0.131720984418695,11.2086747688838,3.69686879746056e-29,1.0992536678449e-26,"IFITM3","interferon induced transmembrane protein 3","protein-coding","10410","Up in ZIKV",28.4321659623428,25.9589020766092
"6890",800.998935789952,1.13652221803848,0.104318152314013,11.1583771865339,6.51703022604789e-29,1.9112753439652e-26,"TAP1","transporter 1, ATP binding cassette subfamily B member","protein-coding","6890","Up in ZIKV",28.1859502647378,25.7186767426934
"107984251",116.910217843206,2.27855996597022,0.210014494948557,11.0843863040345,1.49371173760541e-28,4.32146953924247e-26,"LOC107984251","uncharacterized LOC107984251","ncRNA","107984251","Up in ZIKV",27.8257332063,25.3643685438662
"152926",139.986143533575,1.83221426882494,0.172734003487089,10.8736578649928,1.53904097324976e-27,4.33543792056633e-25,"PPM1K","protein phosphatase, Mg2+/Mn2+ dependent 1K","protein-coding","152926","Up in ZIKV",26.8127498179727,24.3629670280886
"27074",59.8679707654214,3.51150015055962,0.330360828755085,10.8252358959476,2.6140515857169e-27,7.17490133315551e-25,"LAMP3","lysosomal associated membrane protein 3","protein-coding","27074","Up in ZIKV",26.5826858462998,24.1441840668254
"101926887",233.580380808217,1.30503196184129,0.132573586400303,10.1265712141714,4.2115942792142e-24,1.08633761353852e-21,"LOC101926887","uncharacterized LOC101926887","ncRNA","101926887","Up in ZIKV",23.3755534729057,20.9640351831169
"684",48.734053043206,4.24192339470462,0.428243168526496,10.0372600622338,1.045375312502e-23,2.66433810301849e-21,"BST2","bone marrow stromal cell antigen 2","protein-coding","684","Up in ZIKV",22.9807277603802,20.5744106642772
"53840",152.950494947139,1.50331042227443,0.163279822550827,9.51760044703353,1.77223875702989e-21,4.41184413363405e-19,"TRIM34","tripartite motif containing 34","protein-coding","53840","Up in ZIKV",20.7514777701038,18.3553798391825
"7098",127.745882861024,1.49171989288053,0.172365547601896,8.97664300024971,2.7915387785228e-19,6.71506221453873e-17,"TLR3","toll like receptor 3","protein-coding","7098","Up in ZIKV",18.5541563347913,16.1729499592714
"5696",274.412839098156,1.01584763531369,0.11996821172761,8.79777571080914,1.39554610753063e-18,3.24752680610035e-16,"PSMB8","proteasome 20S subunit beta 8","protein-coding","5696","Up in ZIKV",17.8552558102572,15.4884472554379
"8743",173.783644277735,1.29087347021786,0.154782203426004,8.68008477333026,3.95473943407237e-18,9.10398027355435e-16,"TNFSF10","TNF superfamily member 10","protein-coding","8743","Up in ZIKV",17.4028821255854,15.0407686919745
"101928816",46.9852031847697,2.64609410364273,0.320020119996932,8.57154000990279,1.02110228704804e-17,2.3011346172012e-15,"LOC101928816","uncharacterized LOC101928816","ncRNA","101928816","Up in ZIKV",16.9909307510811,14.6380579742051
"51131",160.103042818172,1.2606736836196,0.160002001390122,8.23846296624177,1.74437038717691e-16,3.69754709099707e-14,"PHF11","PHD finger protein 11","protein-coding","51131","Up in ZIKV",15.7583612946166,13.4320862862344
"105377524",57.5940443350053,2.20337551145603,0.278999931616714,8.23609649098263,1.77920455317652e-16,3.73441081166236e-14,"LOC105377524","uncharacterized LOC105377524","ncRNA","105377524","Up in ZIKV",15.7497741186902,13.4277779082872
"219537",49.0635177597537,2.52210361655753,0.323528636694441,8.13967793412777,3.96330743132647e-16,8.15869699973735e-14,"SMTNL1","smoothelin like 1","protein-coding","219537","Up in ZIKV",15.4019422384026,13.0883791955365
"100507463",135.614775361055,1.21943246259387,0.165866241653246,7.732539865112,1.05421791010946e-14,2.07061937959022e-12,"PSMB8-AS1","PSMB8 antisense RNA 1 (head to head)","ncRNA","100507463","Up in ZIKV",13.9770696098289,11.6838997256046
"140711",89.6116696061897,1.52992455988189,0.208653288525643,7.70688149098931,1.28929422558755e-14,2.50931818869126e-12,"TLDC2","TBC/LysM-associated domain containing 2","protein-coding","140711","Up in ZIKV",13.8896479624233,11.6004442654167
"7318",43.5136379576464,2.42436694230511,0.334795277802756,7.60098990638994,2.93874034134494e-14,5.66806233944629e-12,"UBA7","ubiquitin like modifier activating enzyme 7","protein-coding","7318","Up in ZIKV",13.5318387852451,11.2465653818669
"5698",103.36304875967,1.38741827367284,0.192335057992923,7.59825326784271,3.00154466287858e-14,5.73750622210425e-12,"PSMB9","proteasome 20S subunit beta 9","protein-coding","5698","Up in ZIKV",13.5226551899735,11.2412768304788
"25780",103.312370657202,1.37277813799301,0.193074667082924,7.50673472872407,6.06203921487352e-14,1.11881204785541e-11,"RASGRP3","RAS guanyl releasing protein 3","protein-coding","25780","Up in ZIKV",13.2173812585411,10.9512428656032
"4600",41.7707341376142,6.25741480976466,0.82475978332686,7.48106046716885,7.37252447612939e-14,1.33761336024961e-11,"MX2","MX dynamin like GTPase 2","protein-coding","4600","Up in ZIKV",13.1323837769545,10.8736694020958
"3965",116.572697479624,1.25045548725323,0.179214885599962,7.37791281084042,1.60790202983024e-13,2.89273735770048e-11,"LGALS9","galectin 9","protein-coding","3965","Up in ZIKV",12.793740416533,10.5386909957607
"3134",137.080869430513,1.10707464743528,0.164819490170829,7.12744460570069,1.02249401453966e-12,1.79430937354751e-10,"HLA-F","major histocompatibility complex, class I, F","protein-coding","3134","Up in ZIKV",11.9903392255798,9.7461026740897
