"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000116096",2127.9033107829,-2.90390530969379,0.292334718605358,-10.1448241353679,3.49407187964931e-24,3.70317307244698e-23,"SPR","6697","sepiapterin reductase","Down in ZIKV",23.4566681650045,22.4314259901779
"ENSG00000141314",213.565472887723,-2.89994307847358,0.292353465954996,-10.1447259680945,3.49758652319555e-24,3.70497837037622e-23,"RHBDL3","162494","rhomboid like 3","Down in ZIKV",23.4562315331388,22.4312143230838
"ENSG00000108468",3099.11891687734,-1.78536521484461,0.178408449242511,-10.1440859632604,3.52058635426319e-24,3.72741169132782e-23,"CBX1","10951","chromobox 1","Down in ZIKV",23.4533849986771,22.4285926369221
"ENSG00000181392",119.712531928367,2.85631428819234,0.286982142516513,10.143957997283,3.52520300331567e-24,3.73036872389147e-23,"SYNE4","163183","spectrin repeat containing nuclear envelope family member 4","Up in ZIKV",23.4528158685502,22.4282482387444
"ENSG00000135048",4323.04407201519,-1.9003658939393,0.190262814715309,-10.137615115018,3.76171025652039e-24,3.97858238351213e-23,"CEMIP2","23670","cell migration inducing hyaluronidase 2","Down in ZIKV",23.4246146587698,22.4002716446824
"ENSG00000125787",87.0480177664395,4.3445138909015,0.436949669581436,10.1372010196288,3.77768599971428e-24,3.99341432166179e-23,"GNRH2","2797","gonadotropin releasing hormone 2","Up in ZIKV",23.4227741433593,22.3986556288799
"ENSG00000078081",78.7159188180542,4.12731458922084,0.415205726205932,10.1351250331805,3.85879590883617e-24,4.073011138097e-23,"LAMP3","27074","lysosome associated membrane protein 3","Up in ZIKV",23.4135481905942,22.3900844022863
"ENSG00000111907",700.963213274943,-2.22790840051987,0.223514693181541,-10.1351209651153,3.85895653171937e-24,4.073011138097e-23,"TPD52L1","7164","TPD52 like 1","Down in ZIKV",23.413530113406,22.3900844022863
"ENSG00000165704",1551.79741877755,-2.5230024253697,0.253615797916343,-10.1351530001793,3.85769184324266e-24,4.073011138097e-23,"HPRT1","3251","hypoxanthine phosphoribosyltransferase 1","Down in ZIKV",23.4136724672376,22.3900844022863
"ENSG00000277972",986.517342413742,-2.48738813577574,0.250052158050112,-10.1337275358964,3.91436594176346e-24,4.12936334908569e-23,"CISD3","284106","CDGSH iron sulfur domain 3","Down in ZIKV",23.4073385759546,22.3841169011989
"ENSG00000165282",1725.01001665788,-2.03152998547088,0.203645573136922,-10.1333091242402,3.93115731472662e-24,4.14493932333676e-23,"PIGO","84720","phosphatidylinositol glycan anchor biosynthesis class O","Down in ZIKV",23.4054795764926,22.3824818225885
"ENSG00000021762",412.212238449488,-2.19618605559532,0.220655230046731,-10.1302312423226,4.05688887389972e-24,4.27530458091802e-23,"OSBPL5","114879","oxysterol binding protein like 5","Down in ZIKV",23.3918068883058,22.3690329398598
"ENSG00000275302",245.457940323725,8.74590451565152,0.846544078889539,10.1287001551504,4.12090923569913e-24,4.34053544882727e-23,"CCL4","6351","C-C motif chemokine ligand 4","Up in ZIKV",23.3850069508404,22.362456692578
"ENSG00000116711",1682.77074442072,-2.82257356027451,0.284889752650303,-10.124142497412,4.31746440747861e-24,4.54522565388445e-23,"PLA2G4A","5321","phospholipase A2 group IVA","Down in ZIKV",23.3647712340036,22.3424445507689
