"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000124508",2503.67973947001,3.55119711745115,0.170431471023861,20.9460545512196,2.03835948418524e-97,6.31737018924381e-95,"BTN2A2","10385","butyrophilin subfamily 2 member A2","Up in ZIKV",96.6907192215905,94.1994636732979
"ENSG00000170345",3714.95270926154,5.07320271818487,0.243839791171603,20.9313328857331,2.77624048104394e-97,8.47582075220207e-95,"FOS","2353","Fos proto-oncogene, AP-1 transcription factor subunit","Up in ZIKV",96.5565429175158,94.0718182363823
"ENSG00000261455",1179.54071463057,4.98552935272057,0.240778650685595,20.8206221774242,2.81506694074716e-96,8.46796974602693e-94,"LINC01003","100128822","long intergenic non-protein coding RNA 1003","Up in ZIKV",95.5505112734054,93.0722207022772
"ENSG00000185022",2267.4977372384,4.08857663612712,0.198413378874652,20.7258539972265,2.02502906950158e-95,5.91742423095068e-93,"MAFF","23764","MAF bZIP transcription factor F","Up in ZIKV",94.6935687380624,92.2278672942423
"ENSG00000117228",726.120401990523,4.54145807484295,0.221073301288065,20.6627711632711,7.49378632545257e-95,2.15894928573426e-92,"GBP1","2633","guanylate binding protein 1","Up in ZIKV",94.1252986943487,91.6657575592334
"ENSG00000151014",1793.77445120324,4.46846385807441,0.217796492561424,20.6412717923585,1.16944674401082e-94,3.32236571510296e-92,"NOCT","25819","nocturnin","Up in ZIKV",93.9320195509466,91.4785525635435
"ENSG00000128335",4373.73707720119,3.77864231451478,0.185152685188407,20.5203149028413,1.41791032235485e-93,3.91937238429303e-91,"APOL2","23780","apolipoprotein L2","Up in ZIKV",92.8483512358229,90.4067834717195
"ENSG00000056558",1439.20216835769,3.43315049599176,0.170382913608945,20.2585182586349,2.98820776255726e-91,7.93815451728684e-89,"TRAF1","7185","TNF receptor associated factor 1","Up in ZIKV",90.5245892104057,88.1002804517438
"ENSG00000260942",890.028749902212,3.66110950489494,0.182870633293416,20.1357858498934,3.58579830194206e-90,9.1684380332781e-88,"CAPN10-DT","101752400","CAPN10 divergent transcript","Up in ZIKV",89.4454141427764,87.0377046459339
"ENSG00000274925",1240.91363805587,4.27187774354872,0.213908916182503,20.0848039261062,1.00218266680866e-89,2.53082054932977e-87,"ZKSCAN2-DT","112577464","ZKSCAN2 divergent transcript","Up in ZIKV",88.9990531128432,86.5967386478875
"ENSG00000197536",698.516241826584,4.86908764290135,0.244017198554193,20.0782536744772,1.1434430613213e-89,2.81796720714784e-87,"ENSG00000197536",NA,NA,"Up in ZIKV",88.9417854565663,86.550064065108
"ENSG00000168389",1207.36238272376,4.51112662922354,0.226872632602257,20.0084968343949,4.64443461241041e-89,1.13097511901018e-86,"MFSD2A","84879","MFSD2 lysolipid transporter A, lysophospholipid","Up in ZIKV",88.3330671470429,85.9465469492703
"ENSG00000270240",1065.92458909959,7.67412693674913,0.385717056884916,19.9971090931076,5.83586726888368e-89,1.40438429394136e-86,"CCL5-AS1","105371745","CCL5 regulatory antisense RNA 1","Up in ZIKV",88.2338945942712,85.8525140361511
"ENSG00000125347",4660.24689505521,4.03804645125694,0.204052992641043,19.9518285518082,1.44505625621484e-88,3.43704950242727e-86,"IRF1","3659","interferon regulatory factor 1","Up in ZIKV",87.8401152454416,85.4638142128508
"ENSG00000100342",1807.38554450892,3.44494592941053,0.173928450171191,19.9163698325301,2.93514200408205e-88,6.82253746517027e-86,"APOL1","8542","apolipoprotein L1","Up in ZIKV",87.5323708824582,85.1660540707739
"ENSG00000173110",512.680197151372,5.61022015890443,0.283260875518875,19.9094642522231,3.36898376132062e-88,7.74298458851834e-86,"HSPA6","3310","heat shock protein family A (Hsp70) member 6","Up in ZIKV",87.4725010823361,85.1110916051467
"ENSG00000227507",413.587700053996,4.91101122131311,0.248072102929807,19.8908274039323,4.88621996035683e-88,1.09832559658351e-85,"LTB","4050","lymphotoxin beta","Up in ZIKV",87.3110269865196,84.9592688950063
"ENSG00000163121",607.667340929781,6.27681825216448,0.317615547059565,19.8613482425142,8.79184971658491e-88,1.93373425755639e-85,"NEURL3","93082","neuralized E3 ubiquitin protein ligase 3","Up in ZIKV",87.0559197441305,84.71360320885
