"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID","GENENAME","Regulation","minusLog10P","minusLog10FDR"
"ENSG00000176720",524.391655219408,-2.26648852267741,0.209781830063664,-10.9680445231283,5.44369625149616e-28,7.23997443591378e-27,"BOK","666","BCL2 family apoptosis regulator BOK","Down in ZIKV",27.2641061156471,26.1402629672782
"ENSG00000121774",4347.10814417031,-1.76686907227963,0.162573162345523,-10.9597035945388,5.9694558884374e-28,7.92891040246669e-27,"KHDRBS1","10657","KH RNA binding domain containing, signal transduction associated 1","Down in ZIKV",27.2240652526928,26.1007864896949
"ENSG00000112118",2881.96420965103,-2.50287336741863,0.23220910140883,-10.9539923227183,6.35820578264204e-28,8.43978580687495e-27,"MCM3","4172","minichromosome maintenance complex component 3","Down in ZIKV",27.1966654202999,26.0736685751839
"ENSG00000051180",297.155431500948,-2.67872065556904,0.248752554294792,-10.950254131046,6.62614520115305e-28,8.77835492808198e-27,"RAD51","5888","RAD51 recombinase","Down in ZIKV",27.1787390514953,26.0565868636606
"ENSG00000082212",1232.96403768158,-1.93074512180892,0.178583685217962,-10.9477764517057,6.80987682118179e-28,9.01009252116905e-27,"ME2","4200","malic enzyme 2","Down in ZIKV",27.1668607436474,26.0452707493953
"ENSG00000096696",2831.20317517909,-1.97928237752175,0.183190169404315,-10.9473866184163,6.83924128342404e-28,9.04309505187064e-27,"DSP","1832","desmoplakin","Down in ZIKV",27.1649920744054,26.0436829042704
"ENSG00000197930",1470.91713687418,-1.82545371832717,0.168763655505641,-10.9435158296713,7.13771219073005e-28,9.42555860951474e-27,"ERO1A","30001","endoplasmic reticulum oxidoreductase 1 alpha","Down in ZIKV",27.1464409677978,26.0256929017226
"ENSG00000105568",6037.10184470682,-2.14040563493068,0.198444513454493,-10.9381889887287,7.56968568811056e-28,9.989543274213e-27,"PPP2R1A","5518","protein phosphatase 2 scaffold subunit Aalpha","Down in ZIKV",27.1209221530961,26.000454367432
"ENSG00000188559",559.916134526105,-2.09919636506651,0.194952148529678,-10.9222443888088,9.02379325863296e-28,1.18854920222368e-26,"RALGAPA2","57186","Ral GTPase activating protein catalytic subunit alpha 2","Down in ZIKV",27.0446108632348,25.9249828351289
"ENSG00000138768",2239.66302151871,-1.90944654707834,0.177062295236518,-10.9184005853107,9.4138939188619e-28,1.23913256184247e-26,"USO1","8615","USO1 vesicle transport factor","Down in ZIKV",27.0262306998803,25.9068822305108
"ENSG00000163517",312.357338415112,-2.15915921250652,0.200419843142848,-10.9180546362505,9.449813443911e-28,1.24306066877942e-26,"HDAC11","79885","histone deacetylase 11","Down in ZIKV",27.02457676515,25.9055076746784
"ENSG00000015133",275.255933282923,-2.48233161964108,0.231475405383194,-10.9127281538771,1.00203272170916e-27,1.31472606302508e-26,"CCDC88C","440193","coiled-coil and HOOK domain protein 88C","Down in ZIKV",26.9991180962076,25.881164727562
"ENSG00000130939",895.769267550523,-1.90380128759313,0.17670674312591,-10.9109477450181,1.02185410003753e-27,1.33987343694024e-26,"UBE4B","10277","ubiquitination factor E4B","Down in ZIKV",26.9906111081856,25.8729362227056
"ENSG00000121892",2706.8518902865,-1.5389474476207,0.142454832922828,-10.9065394981015,1.07262051869952e-27,1.40553829019851e-26,"PDS5A","23244","PDS5 cohesin associated factor A","Down in ZIKV",26.969553899455,25.8521573186831
