"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000010404",241,207,219,459,528,398
"ENSG00000010438",44,31,28,48,54,83
"ENSG00000010539",1421,1563,1079,223,382,284
"ENSG00000010610",13,10,19,27,26,24
"ENSG00000010626",309,272,233,450,459,515
"ENSG00000010671",24,21,22,1,2,1
"ENSG00000010704",220,225,199,878,841,913
"ENSG00000010803",598,537,463,810,512,668
"ENSG00000010810",2123,2614,1769,231,275,239
"ENSG00000010818",1965,1598,1598,624,436,536
"ENSG00000011007",1080,1502,1049,807,915,833
"ENSG00000011009",808,1590,908,984,1310,1195
"ENSG00000011021",806,756,713,831,668,632
"ENSG00000011028",1439,1089,986,8284,9415,6959
"ENSG00000011083",39,49,41,0,0,0
"ENSG00000011105",1073,1164,813,1271,1242,1173
"ENSG00000011114",1429,1273,1097,1310,1153,1022
"ENSG00000011132",1416,2166,1366,358,505,386
"ENSG00000011143",720,1027,612,391,480,492
"ENSG00000011198",529,552,315,294,312,369
"ENSG00000011243",2473,3673,2358,706,872,793
"ENSG00000011258",938,821,647,794,717,720
"ENSG00000011260",684,1283,687,2263,4232,3200
"ENSG00000011275",1263,1588,1340,2033,2594,2121
"ENSG00000011295",2084,2156,1357,2539,2993,2185
"ENSG00000011304",4247,5193,3935,11974,11781,13128
"ENSG00000011332",688,885,625,170,213,168
"ENSG00000011347",30,30,26,62,60,67
"ENSG00000011376",384,443,314,808,1003,890
"ENSG00000011405",2118,1772,1482,1858,1940,2089
"ENSG00000011422",6228,10062,5769,1425,1290,1048
"ENSG00000011426",1258,1501,1002,5011,5606,5795
"ENSG00000011451",1157,1205,1042,1478,1369,1268
"ENSG00000011454",1586,1609,1223,1573,1659,1641
"ENSG00000011478",462,486,333,761,895,692
"ENSG00000011485",1771,2820,1839,2812,3057,3327
"ENSG00000011523",1688,1355,1076,902,1016,909
"ENSG00000011566",1402,1514,979,1299,1380,1318
"ENSG00000011590",148,199,136,29,20,17
"ENSG00000011638",888,1219,695,437,369,358
"ENSG00000011677",84,112,66,114,68,99
"ENSG00000012048",536,580,479,2037,2809,2552
"ENSG00000012061",1662,2671,1479,2251,3386,2803
"ENSG00000012124",58,24,24,9,5,3
"ENSG00000012171",542,654,518,1233,2110,1514
"ENSG00000012174",382,472,351,1815,2574,2099
"ENSG00000012211",1151,1565,1096,371,432,491
"ENSG00000012232",931,1037,781,1843,1955,1667
"ENSG00000012504",71,76,32,9,31,31
"ENSG00000012660",2017,1787,1257,4133,3502,4627
"ENSG00000012779",18,10,7,10,13,12
"ENSG00000012817",809,840,749,898,955,803
