"","GSM8231986","GSM8231987","GSM8231988","GSM8231989","GSM8231990","GSM8231991"
"ENSG00000011198",529,552,315,294,312,369
"ENSG00000011201",0,5,0,0,5,2
"ENSG00000011243",2473,3673,2358,706,872,793
"ENSG00000011258",938,821,647,794,717,720
"ENSG00000011260",684,1283,687,2263,4232,3200
"ENSG00000011275",1263,1588,1340,2033,2594,2121
"ENSG00000011295",2084,2156,1357,2539,2993,2185
"ENSG00000011304",4247,5193,3935,11974,11781,13128
"ENSG00000011332",688,885,625,170,213,168
"ENSG00000011347",30,30,26,62,60,67
"ENSG00000011376",384,443,314,808,1003,890
"ENSG00000011405",2118,1772,1482,1858,1940,2089
"ENSG00000011422",6228,10062,5769,1425,1290,1048
"ENSG00000011426",1258,1501,1002,5011,5606,5795
"ENSG00000011451",1157,1205,1042,1478,1369,1268
"ENSG00000011454",1586,1609,1223,1573,1659,1641
"ENSG00000011465",2,3,6,5,9,8
"ENSG00000011478",462,486,333,761,895,692
"ENSG00000011485",1771,2820,1839,2812,3057,3327
"ENSG00000011523",1688,1355,1076,902,1016,909
"ENSG00000011566",1402,1514,979,1299,1380,1318
"ENSG00000011590",148,199,136,29,20,17
"ENSG00000011600",0,3,0,0,0,0
"ENSG00000011638",888,1219,695,437,369,358
"ENSG00000011677",84,112,66,114,68,99
"ENSG00000012048",536,580,479,2037,2809,2552
"ENSG00000012061",1662,2671,1479,2251,3386,2803
"ENSG00000012124",58,24,24,9,5,3
"ENSG00000012171",542,654,518,1233,2110,1514
"ENSG00000012174",382,472,351,1815,2574,2099
"ENSG00000012211",1151,1565,1096,371,432,491
"ENSG00000012223",2,3,0,0,0,0
"ENSG00000012232",931,1037,781,1843,1955,1667
"ENSG00000012504",71,76,32,9,31,31
"ENSG00000012660",2017,1787,1257,4133,3502,4627
"ENSG00000012779",18,10,7,10,13,12
"ENSG00000012817",809,840,749,898,955,803
"ENSG00000012822",2051,1901,1605,1333,869,1198
"ENSG00000012963",535,632,377,891,1028,1055
"ENSG00000012983",1879,2170,1424,1447,1470,1439
